,Title,Subtitle,Link
0,Norway team in hotel catastrophe as they check in to rooms next to BUILDING SITE ahead of quarter final against England,WORLD CUP DRILLER,https://www.thesun.co.uk/sport/39690271/norway-team-hotel-disaster-england-rivals/
1,Henderson shares pic from hospital after England star's World Cup over,HEND OF GOD,https://www.thesun.co.uk/sport/39691478/jordan-henderson-world-cup-injury-update-kansas-city/
2,Bruno Guimaraes tells Newcastle he wants to join Arsenal in £60m deal,BRU-TAL,https://www.thesun.co.uk/sport/39693484/bruno-guimaraes-newcastle-arsenal-transfer-news-premier-league/
3,Man Utd agree £50m Andrey Santos deal with Chelsea star set to undergo medical,REY OF HOPE,https://www.thesun.co.uk/sport/39693102/man-utd-agree-andrey-santos-transfer-news-chelsea/
4,England vs Norway POSTPONEMENT fears with Miami temperature set to feel like 44C,MIAMI HEAT,https://www.thesun.co.uk/sport/39686512/england-world-cup-quarter-final-postponed-miami-temperatures/
5,Get £40 in World Cup 2026 free bets plus 100% BuildABet Boost with Sky Bet,TOP CLASS,https://www.thesun.co.uk/sport/39315934/sky-bet-world-cup-offer-free-bets-welcome-bonus/
6,England's chances of lifting World Cup revealed by supercomputer as it predicts mouthwatering repeat of epic clash,GOING FOR GOLD,https://www.thesun.co.uk/sport/39688273/england-world-cup-chances-supercomputer-predicts-argentina-france/
7,How England could line up if eligible foreign stars declared for Three Lions instead – with Olise behind Haaland & Kane,ENG-CREDIBLE,https://www.thesun.co.uk/sport/39688726/england-line-up-haaland-olise-semenyo-musiala-world-cup/
8,Argentina stars sing about FALKLANDS in dressing room in taunt at England,WAR CRY,https://www.thesun.co.uk/sport/39688002/argentina-stars-falklands-taunt-england-world-cup-win/
9,EFL club accused of being 'Temu Man Utd' as they release new kit,THAT SAL FOLKS,https://www.thesun.co.uk/sport/39693540/manchester-united-salford-city-efl-new-kit-paul-scholes/
10,"Premier League ace, 29, quizzed by police after car crash puts woman in hospital",PREM SHOCK,https://www.thesun.co.uk/sport/39689285/brighton-kaoru-mitoma-quizzed-police-car-crash/
11,Egypt manager could face punishment following altercation with Lionel Messi,GETTING MESSI,https://www.thesun.co.uk/sport/39691966/argentina-egypt-hossam-hassan-lionel-messi-mo-salah/
12,Get set for World Cup and Wimbledon with huge beer deals at Sainsbury's,DRINK TO THAT,https://www.thesun.co.uk/sport/39583153/england-norway-wimbledon-beer-deals-pimms-sainsburys/
13,Troy Deeney: England's £224m midfield pairing haven't dominated anyone – I can't see us getting past Argentina,MID-DLE OF THE ROAD,https://www.thesun.co.uk/sport/39685325/england-midfield-norway-argentina-world-cup-deeney/
14,Get £50 in free Bet Builder bets with Paddy Power when you bet £10,POWER OFFER,https://www.thesun.co.uk/sport/39316678/world-cup-free-bets-paddy-power-promo-code/
15,World Cup 2026 free bets and offers: Best new football sign-up deals,WORLDIE OFFERS,https://www.thesun.co.uk/sport/39273117/world-cup-2026-free-bets-sign-up-offers/
16,World Cup 2026: Get £40 in free bets with Tote when you bet £10,WORLD CUP BONUS,https://www.thesun.co.uk/sport/39340935/tote-free-bets-world-cup-offer-join-promo-code/
17,Man City ticket and hotel deals for all Premier League matches,PARADISE CITY,https://www.thesun.co.uk/sport/39222150/manchester-city-ticket-hotel-packages-premier-league-etihad/
18,Secure your spot at Grand National 2027 with deals from just £189pp,NATIONAL PLEASURE,https://www.thesun.co.uk/sport/37215968/grand-national-aintree-tickets-hotels-2027/
19,Official Spurs ticket and hotel packages for the new Premier League season,SPUR-FECT,https://www.thesun.co.uk/sport/39228834/tottenham-premier-league-ticket-hotel-packages/
20,How England's 'screen team' can stop Erling Haaland in Norway World Cup quarter-final clash,FORCE FIELD,https://www.thesun.co.uk/sport/39683572/tactics-exposed-england-norway-erling-haaland/
21,England Wag stuns in yellow bikini at World Cup as fans gush 'obsessed with you','KIN ELL!,https://www.thesun.co.uk/sport/39690255/england-wag-ellie-watkins-yellow-bikini-world-cup/
22,'Heartbroken' Man Utd legend Mark Hughes carries son's coffin at funeral,FINAL FAREWELL,https://www.thesun.co.uk/sport/39685408/man-utd-legend-mark-hughes-son-alex-coffin/
